Title,Link,Image,Description,Comments,Game Mode,Game Language,Game Genre,Max Players,Single Player
 Rune Knights играть по сети и интернету ЛАН,https://freetp.org/po-seti/4672-rune-knights-igra-po-seti-i-internetu-onlayn.html,/uploads/posts/2021-03/thumbs/1615147382_rune-knights.jpg,"Ролевой современный экшен Rune Knights настройку и индивидуальный билд Вашего героя. Основная задача: собирать экипировку и снаряжение, убивать на своем пути различных врагов и обзавестись уникальным, разрушительным арсеналом оружия как дальнего, так и ближнего боя. Кстати, главный герой может быть совсем разных, его внешность и дополнительные аксессуары выбираете Вы самостоятельно, но прежде его нужно добыть.  Способ по которому можно поиграть: Локальная Сеть (эмулятор ЛАН)",6,Способ игры не указан,Язык в игре не указан,"Экшены, Инди, Ролевые игры,, Совместное прохождение. Одиночная игра",Максимальное количество игроков не указано,"Экшены, Инди, Ролевые игры,, Совместное прохождение. Одиночная игра"
 Xatab F (умер великий репакер),https://freetp.org/news/4671-xatab-f.html,https://freetp.org/uploads/posts/2021-03/1615111924_respect-to-xatab.jpg,,102,Способ игры не указан,Язык в игре не указан,Жанр не указан,Максимальное количество игроков не указано,Информация об одиночной игре не указана
 Victoria 2: Heart of Darkness играть по сети и интернету ЛАН,https://freetp.org/games/strategy/4664-victoria-2-heart-of-darkness-igrat-po-seti-i-internetu-lan.html,/uploads/posts/2021-02/thumbs/1614418311_victoria-2-heart-of-darkness.jpg,"Возведите свою страну на пьедестал, возвышающийся над другими государствами и докажите, что вы можете быть лучшим из лучших. Попытаетесь ли вы искать благосклонность соседей, или же станете самым опасным диктатором за всю историю человечества? Выбор за вами!Способ по которому можно поиграть: Эмулятор локальной сети",10,Локальная Сеть (Эмулятор LAN).,RU/ENG.,Стратегии.,-,Информация об одиночной игре не указана
 The Sims 4 играть по сети и интернету ЛАН,https://freetp.org/po-seti/4659-the-sims-4-igrat-po-seti-i-internetu-lan.html,/uploads/posts/2021-02/thumbs/1613506324_sims.png,"The Sims — серия-загадка. Практически любая «игра о виртуальной жизни» от Maxis и Electronic Arts может оказаться как действительно классной, так и не очень. При этом обычно очень сложно угадать заранее, где спрятан джекпот, а где — пустышка. До сих пор каждый новый этап в жизни серии, каждое следующее воплощение The Sims оказывалось в той или иной мере революционным.Способ по которому можно поиграть: Локальная Сеть (Эмулятор ЛАН)",33,Локальная Сеть.,Русский/Английский.,"Симуляторы, Совместное прохождение.",*,Информация об одиночной игре не указана
 The Experiment: Escape Room играть по сети и интернету Онлайн / ЛАН,https://freetp.org/po-seti/4658-the-experiment-escape-room-igrat-po-seti-i-internetu-onlayn-lan.html,/uploads/posts/2021-02/thumbs/1613492329_the_experiment_escape_room.jpg,"The Experiment Escape Room - кооперативный проект-головоломка, в которой вы стали жертвой странного эксперимента, который вышел из под контроля. Проснувшись в комнате вы должны, используя подсказки, найти выход из этой ситуации.",7,Steam (по приглашению).,Русский Текст.,"Совместное Прохождение, Приключенческие игры, Инди, Казуальные игры.",2,Присутствует.
 Counter-Strike Online 2 EU-RU по сети и интернету ОНЛАЙН,https://freetp.org/po-seti/4655-counter-strike-online-2-eu-ru-po-seti-i-internetu-onlayn.html,/uploads/posts/2021-02/thumbs/1613404560_maxresdefault.jpg,"Counter-Strike Online 2 — компьютерная игра, продолжение игры Counter-Strike Online, разработанная компанией Nexon, под контролем компании Valve Corporation. Игра была анонсирована в Токио, в апреле 2012 года. Теперь она доступна в России благодаря человеку с ником: organnerx  Способ по которому можно поиграть: Radmin VPN",9,Radmin VPN.,English.,"Шутер, От первого лица.",32.,Информация об одиночной игре не указана
 The Watchers играть по сети и интернету Онлайн,https://freetp.org/po-seti/4653-the-watchers-igrat-po-seti-i-internetu-onlayn.html,/uploads/posts/2021-02/thumbs/1613331064_the-watchers.jpg,"The Watchers - совместный стелс-ужастик, в котором вы с сестрой отправляетесь на поиски своей матери, разгадывая загадки и находя всякие подсказки вы должны разыскать её и не угодить в руки злу.",4,Интернет,Русский текст.,"Экшены, Инди, Стелс, Ужасы, От первого лица, Совместное прохождение.",2.,Информация об одиночной игре не указана
 Boreal Blade играть по сети и интернету Онлайн,https://freetp.org/po-seti/4652-boreal-blade-igra-po-seti-i-internetu-onlayn.html,/uploads/posts/2021-02/thumbs/1613300426_boreal-blade.jpeg,"Boreal Blade - крутые командные сражения - главная фишка данной игры, подбирайте оружия под себя и бросайте вызов игрокам, тщательно продумав тактику боя.",2,Интернет.,Русский текст.,"Экшены, Драки.",6.,Информация об одиночной игре не указана
 V.U.R.M.A. (Killer Inside Us) играть по сети и интернету Онлайн / ЛАН,https://freetp.org/po-seti/4651-vurma-killer-inside-us-igra-po-seti-i-internetu-onlayn.html,/uploads/posts/2021-02/thumbs/1613229689_header.jpg,"V.U.R.M.A. (Killer Inside Us) - представьте себе что вы - астронавт, вас и вашу группу отправляют на космическую станцию, чтобы вы починили её и поддерживали в рабочем состоянии, но кроме вас на ней есть и киллер, который будет всячески стараться уничтожить вашу группу. Одним словом - Among Us в 3D ^^.",2,Интернет (Стим).,Русский текст.,"Экшены, Казуальные игры, Инди, Стратегии.",10.,Информация об одиночной игре не указана
 Under Lock играть по сети и интернету ЛАН,https://freetp.org/po-seti/4650-under-lock-igra-po-seti-i-internetu-lan.html,/uploads/posts/2021-02/thumbs/1613221640_under-lock.jpg,"Under lock - кооп экшен хоррор, в котором вам предстоит выживать на одной из трёх локаций, в которой с одной стороны - Монстр, с другой стороны 4 выживших, которые должны отыскать ключи, которые рандомно генерируются в мире, чтобы выбраться из этого зловещего места. ",6,Эмулятор ЛАН.,"Русский Текст, Озвучки нет.","Инди, Симуляторы, Совместное прохождение.",5 (4 человека / 1 Монстр).,нет.
 Need For Drink играть по сети и интернету ЛАН,https://freetp.org/po-seti/4649-need-for-drink-igrat-po-seti-i-internetu-lan.html,/uploads/posts/2021-02/thumbs/1613216735_need.jpg,"Need For Drink - это шуточная мультиплеерная игра, противниками которой являются двое супругов. Неразборчивый в пище и имеющий проблемы с алкоголем муж. И его горячо любимая жена, которая никогда не полезет за словом в карманСпособ по которому можно поиграть: Локальная сеть (Эмулятор локальной сети)",6,//freetp.org/uploads/posts/2021-02/1613217045_neeed.pngОписание игры,//freetp.org/uploads/posts/2021-02/1613217045_neeed.pngОписание игры,//freetp.org/uploads/posts/2021-02/1613217045_neeed.pngОписание игры,//freetp.org/uploads/posts/2021-02/1613217045_neeed.pngОписание игры,Информация об одиночной игре не указана
 Loco Parentis играть по сети и интернету онлайн,https://freetp.org/po-seti/4069-loco-parentis-igrat-po-seti-i-internetu-onlayn-.html,/uploads/posts/2019-11/thumbs/1573597099_header.jpg,Способ по которому можно поиграть: Интернет (Steam по приглашению),38,Способ игры не указан,Язык в игре не указан,Жанр не указан,Максимальное количество игроков не указано,Присутствует..
 Mad Experiments Escape Room играть по сети и интернету Онлайн,https://freetp.org/po-seti/4647-mad-experiments-escape-room-igra-po-seti-i-internetu-onlayn.html,/uploads/posts/2021-02/thumbs/1613067245_the-experiment-escape-room.jpg,"Кооперативная игра The Experiment Escape Room очень увлекательная головоломка, которая подойдет для тех, кто любит как обыкновенную ПК-платформу, так и виртуальную реальность. Главный герой в игре - продукт неудачно завершившегося эксперимента. Ваш персонаж отправиться к врачу, но сразу же станет понятно, что происходит кое-что неладное. Но как только Вы поймете что произошло, то уснете. Очнувшись через некоторое время Вы оказываетесь на стуле, а вырвавшись с него становится ясно, что вы заперты в жутком и дряхлом здании с закрытыми дверьми и заколоченными окнами. Теперь появилась цель: найти выход отсюда, но сделать это можно не только в одиночке, но и по сети или интернету с друзьями в многопользовательском режиме The Experiment: Escape Room.Способ по которому можно поиграть: Интернет (подключение через КОД)",3,Способ игры не указан,Язык в игре не указан,"Приключенческие игры, Казуальные игры, Инди, Совместное прохождение.Возможность одиночной игры",Максимальное количество игроков не указано,Информация об одиночной игре не указана
 ARK: Survival Evolved играть по сети и интернету Онлайн,https://freetp.org/po-seti/1890-ark-survival-evolved-igrat-po-seti-i-internetu-onlayn.html,/uploads/posts/2015-08/thumbs/1438951697_ark.png,"Игра ARK: Survival Evolved была создана для общих приключений и путешествей. Вы и еще несколько игроков-союзников высадитесь на никому неизвестный остров, полный мистики и загадок. Выполнить вашу нелегкую миссию, вам будут мешать динозавры, которых нужно либо убить, либо сбежать. ARK включил в себя идея завоевание острова человеком. Вы должны будете обустроиться на острове несмотря на то, кто на нем живет уже очень давно.",866,Способ игры не указан,Язык в игре не указан,Жанр не указан,Максимальное количество игроков не указано,Информация об одиночной игре не указана
 Nioh 2 играть по сети и интернету Онлайн,https://freetp.org/po-seti/4639-nioh-2-igra-po-seti-besplatno-onlayn-.html,/uploads/posts/2021-02/thumbs/1612558429_nioh-2.jpg,"Nioh 2 – вы же играли в крутейшую игру ""Nioh"" ? - Так вот, встречайте вторую часть, вобравшую в себя все самые крутые вещи из предыдущей чести и вносящая уйму крутых фишек в игровой процесс. ",45,Интернет (Стим).,Русский текст.,"Экшены, Ролевые игры, Совместное прохождение.",*.,Информация об одиночной игре не указана
 Plague Inc: Evolved играть по сети и интернету Онлайн,https://freetp.org/po-seti/4479-plague-inc-evolved-igrat-po-seti-i-internetu-onlayn.html,/uploads/posts/2020-10/thumbs/1601756245_header_russian-4.jpg,"Plague Inc: Evolved – проект, пробившийся из мобильных платформ на персональные компьютеры, который разработан в жанре стратегии, действия которой происходят в режиме реального времени.  Способ по которому можно поиграть: Локальная Сеть (Эмулятор Локальной сети)",22,Локальная Сеть (Radmin VPN). Одиночная игра,Язык в игре не указан,"Казуальные игры, Инди, Симуляторы, Стратегии.",Plague Inc,Локальная Сеть (Radmin VPN). Одиночная игра
 The Jackbox Party Pack 6 играть по сети и интернету Онлайн,https://freetp.org/po-seti/4528-the-jackbox-party-pack-6-igrat-po-seti-i-internetu-onlayn.html,/uploads/posts/2020-11/thumbs/1604946558_header-70.jpg,"The Jackbox Party Pack 6 – увлекательное приключение, где ты сможешь здорово провести время в компании своих друзей.Способ по которому можно поиграть: Интернет (подключение через КОД)",36,Способ игры не указан,Частично на русском (не переведено,"Казуальные игры, Инди.",Максимальное количество игроков не указано,Частично на русском (не переведено
 The Ship: Remasted играть по сети и интернету ЛАН,https://freetp.org/po-seti/4211-the-ship-remasted-igrat-po-seti-i-internetu-lan.html,/uploads/posts/2021-01/thumbs/1612012190_the-ship-remasted-online.jpg,"The Ship: Remasted - ремейк нашумевшей The Ship, с огромной помесью различных прелестей из таких игр как КС, Хитман, Симс и многих других. Главная задача игрока - убить одного из пассажиров огромного лайнера, способ выбирайте сами. Будет это тихим делом или устроите перестрелку на весь корабль! Играем в The Ship: Remasted по сети, бесплатно!",10,LAN.,Полностью на Английском.,"Экшены, Инди.",16.,Доступна.
 Hand Simulator: Horror играть по сети и интернету Онлайн,https://freetp.org/po-seti/4630-hand-simulator-horror-igra-po-seti-i-internetu-onlayn.html,/uploads/posts/2021-01/thumbs/1611958037_hand-simulator-horror.jpg,"Hand Simulator: Horror - симулятор управления руками, теперь в виде хоррора, в котором вы с друзьями попадаете на ферму, на которой вам абсолютно не рады... но выход надо найти и свалить оттуда как можно быстрее!",4,Интернет.,Английский текст.,"Экшены, Приключенческие игры, Инди, Многопользовательские игры, Симуляторы, Совместное прохождение.",4.,Информация об одиночной игре не указана
 Pogostuck: Rage With Your Friends играть по сети и интернету Онлайн,https://freetp.org/po-seti/4623-pogostuck-rage-with-your-friends-igrat-po-seti-i-internetu-onlayn.html,/uploads/posts/2021-01/thumbs/1611768442_stas.jpg,"Pogostuck: Rage With Your Friends – это короткая и милая, но очень сложная игра про подъем на гору на пого-стике. Наклоняйте персонажа, прыгайте, используйте силы инерции и повышение мощности при разворотах на 360°, чтобы достигнуть невиданных высот.Способ по которому можно поиграть: Интернет (Steam)",5,Интернет (Steam),Русский/Английский и т.д,"Экшены, Приключенческие игры, Казуальные игры, Инди.",16.,Информация об одиночной игре не указана
 5D Chess With Multiverse Time Travel играть по сети и интернету Онлайн,https://freetp.org/po-seti/4622-5d-chess-with-multiverse-time-travel-igra-po-seti-besplatno-onlayn.html,/uploads/posts/2021-01/thumbs/1611764118_5d-chess-with-multiverse-time-travel.jpg,"5D Chess With Multiverse Time Travel - игра в шахматы, предлагающая не совсем обычную игру, а новый взгляд, с разных сторон. Будет очень интересен для тех, кто новичок в данном виде спорта.",5,Интернет.,Английский.,"Инди, Спорт.",2.,Доступна.
 Main Assembly играть по сети и интернету Онлайн,https://freetp.org/po-seti/4552-main-assembly-igra-po-seti-besplatno-onlayn.html,/uploads/posts/2020-11/thumbs/1606752266_main-assembly.jpg,"Уникальная в своем роде игра-песочница Main Assembly по сети или интернету позволит Вам бесплатно заняться ответственным делом, которое нельзя поручить никому кроме вас самих - созданием роботов....",3,Интернет (Стим).,Английский.,"Экшены, Приключенческие игры, Казуальные игры, Инди, Симуляторы, Совместное прохождение.",2.,Информация об одиночной игре не указана
 Police Simulator: Patrol Duty играть по сети и интернету Онлайн,https://freetp.org/po-seti/4620-police-simulator-patrol-duty-igra-po-seti-besplatno-onlayn.html,/uploads/posts/2021-01/thumbs/1611670755_police-simulator-patrol-duty.jpg,"Police Simulator: Patrol Duty - симулятор жизни полицейского, получайте задания и следите за порядком в своём городе.",10,Интернет.,Английский.,"Симуляторы, Совместное Прохождение.",2.,Доступна.
 Crysis Wars играть по сети и интернету Онлайн / LAN,https://freetp.org/po-seti/850-crysis-wars-igrat-po-seti-i-internetu-onlayn.html,/uploads/posts/2021-01/thumbs/1611511900_crysis-wars.jpg,"Crysis Wars - специально разработанный для мультиплеера пак, являющийся частью Crysis Warhead, доработанный и с большим количеством исправлений оригинальной части",35,Интернет / Локальная Сеть.Жанр,Русский текст +,Интернет / Локальная Сеть.Жанр,4+.,Есть.
 Feed and Grow: Fish играть по сети и интернету Онлайн,https://freetp.org/po-seti/2341-feed-and-grow-fish-igra-po-seti-besplatno-onlayn.html,/uploads/posts/2017-03/thumbs/1490695408_feed-and-grow-fish.jpg,"Feed and Grow Fish - увлекательная и в свою очередь одна из уникальнейших игр на тему - выживания в роли хищной рыбы. Среди главных особенностей - великолепная 3д графика, реалистичное управление и просто завораживающие места и население водоёмов.",9,Интернет.,Английский.,"Экшены, Инди, Симуляторы, Совместное Прохождение.",2.,Доступна.
 Rocket League играть по сети и интернету Онлайн / ЛАН,https://freetp.org/po-seti/1850-rocket-league-igra-besplatno-online-v-multipleer.html,/uploads/posts/2015-07/thumbs/1436386148_rocket-league.jpg,"Футбол на супер скоростных автомобилях, с отличнейшей физикой - что может быть лучше ?) улучшайте свои автомобили и бросьте вызов друзьям, в самой яркой игре про спорт и авто)",48,Интернет (EpicGames) или Локальная Сеть (Эмулятор ЛАН).,Русский текст.,Жанр не указан,Максимальное количество игроков не указано,Информация об одиночной игре не указана
 SuperFighters Deluxe играть по сети и интернету Онлайн,https://freetp.org/po-seti/4359-super-fighter-deluxe-po-seti-igrati-besplatno.html,/uploads/posts/2020-08/thumbs/1596265604_header-15.jpg,"Superfighters Deluxe – многопользовательский игровой проект, представленный миру в жанре аркадного шутера. Тебя ждут беспощадные бои с самыми безумными соперниками, одолеть которых не так то и просто.Способ по которому можно поиграть: Интернет.",14,Интернет.,Язык в игре не указан,"Экшены, Инди",8,Есть.
 The Goatman играть по сети и интернету Онлайн,https://freetp.org/po-seti/4611-the-goatman-igrat-po-seti-i-internetu-onlayn.html,/uploads/posts/2021-01/thumbs/1610890703_the-goatman.jpg,"Группа из 3х военных отправляется на поиски и ликвидацию таинственного существа, полу-козла, полу-демона, который убивает всех на своём пути. Вооружитесь до зубов, выбрав одного из 3х классов и спасти городок!  Способ по которому можно поиграть: Интернет.",5,Интернет.Жанр,Английский.,Интернет.Жанр,3. Одиночная игра,3. Одиночная игра
 Rising Lords играть по сети и интернету ЛАН,https://freetp.org/po-seti/4603-rising-lords-igrat-po-seti-i-internetu-lan.html,/uploads/posts/2021-01/thumbs/1610369440_rising.jpg,"Rising Lords – это средневековая пошаговая стратегия, которая совмещает в себе элементы карточной и настольной игры.Способ по которому можно поиграть: Steam + Эмулятор локальной Сети.",2,Способ игры не указан,Язык в игре не указан,Жанр не указан,Максимальное количество игроков не указано,Информация об одиночной игре не указана
 Tetris Effect: Connected играть по сети и интернету Онлайн,https://freetp.org/po-seti/4597-tetris-effect-connected-igrat-po-seti-i-internetu-onlayn.html,/uploads/posts/2021-01/thumbs/1610091563_tetris-effect-connected-head.jpg,Tetris Effect: Connected – Старый-добрый тетрис в новом обличии и с возможностью поиграть онлайн.Способ по которому можно поиграть: Интернет,8,"Тетрис обретает новую жизнь, но остается все той же великолепной и лучшей головоломкой всех времен. Теперь вы можете посоревноваться с друзьями и игроками со всего света через онлайнОдиночная игра",Язык в игре не указан,"Тетрис обретает новую жизнь, но остается все той же великолепной и лучшей головоломкой всех времен. Теперь вы можете посоревноваться с друзьями и игроками со всего света через онлайнОдиночная игра",Максимальное количество игроков не указано,"Тетрис обретает новую жизнь, но остается все той же великолепной и лучшей головоломкой всех времен. Теперь вы можете посоревноваться с друзьями и игроками со всего света через онлайнОдиночная игра"
 Evil Tag играть по сети и интернету ЛАН,https://freetp.org/po-seti/4599-evil-tag-igrat-po-seti-i-internetu-lan.html,/uploads/posts/2021-01/thumbs/1610191278_eviltag.jpg,"Evil Tag — это игра в жанре экшен и хоррор, разрабатываемая HFM Games для платформы PC.Способ по которому можно поиграть: LAN",4,Способ игры не указан,Язык в игре не указан,Жанр не указан,Максимальное количество игроков не указано,Информация об одиночной игре не указана
 theHunter: Call of the Wild играть по сети и интернету Онлайн,https://freetp.org/po-seti/2346-thehunter-call-of-the-wild-igra-po-seti-besplatno-onlayn.html,/uploads/posts/2017-03/thumbs/1490882042_thehunter-call-of-the-wild.jpg,"the Hunter: Call of the Wild - отличная игра про охоту. Придётся по стараться от души чтобы выловить и подстрелить добычу. Во время всего процесса игры вы будете получать опыт и очки, с помощью которых сможете отточить свои навыки и показать всем кто главный! Всё это время можно провести в совместной игре с друзьями (до 8 человек будут играть одновременно)",147,Интернет (Steam).,Русский Текст (мульти 8).,"Приключенческие игры, Симуляторы, Спортивные игры, Совместное Прохождение.",8.,Доступна.
 Murderous Pursuits играть по сети и интернету Онлайн,https://freetp.org/po-seti/3408-murderous-pursuits-igrat-po-seti-i-internetu-onlayn.html,/uploads/posts/2019-04/thumbs/1555948520_murderous-pursuits.jpg,"Играть в Murderous Pussuits онлайн или по сети бесплатно - всегда интересно за счет того, что предложенная кооперативная игра представляет собой своеобразный ""стелс"" с количеством игроков до 8. Здесь либо ты убиваешь всех и каждого, либо они тебя. Оказавшись в далеком прошлом, практически во Викторианской эпохе, вы должны будете преследовать свою жертву и уничтожить их в самый правильный момент! Но всегда будь осторожен, ни в коем случае не выдавай себя просто так, ведь за тобой возможно уже следуют и ждут момента, когда уничтожить!",15,Интернет.,"Русский, Немецкий, Английский (10 языков) / озвучка - Английский.","Экшены, Инди, Симуляторы, Стратегии",8,Информация об одиночной игре не указана
 Dino D-Day по сети и интернету онлайн,https://freetp.org/po-seti/4595-dino-d-day-po-seti-i-internetu-onlayn.html,/uploads/posts/2021-01/thumbs/1610018848_1563710018_dino-d-day.jpg,"Dino D-Day – экшен шутер, действия которого разворачиваются в 1942 году во времена Второй мировой войны. Способ по которому можно поиграть: Steam + Radmin VPN",1,"Dino D-Day – экшен шутер, действия которого разворачиваются в 1942 году во времена Второй мировой войны. Одиночная игра",Язык в игре не указан,"Экшены, Инди.Кол-во игроков",Максимальное количество игроков не указано,"Dino D-Day – экшен шутер, действия которого разворачиваются в 1942 году во времена Второй мировой войны. Одиночная игра"
 Colony Survival играть по сети и интернету Онлайн / ЛАН,https://freetp.org/po-seti/4193-colony-survival-igra-po-seti-besplatno-onlayn.html,/uploads/posts/2020-04/thumbs/1586018326_colony-survival.jpg,"Colony Survival - РПГ песочница, очень похожа на майнкрафт, только с большим количеством новшеств. Если вы любитель игр такого жанра, то вам несомненно нужно поиграть в Colony Survival по сети и онлайн!",23,"Steam (или ЛАН, в Доп. Информации).","Русский Текст, Озвучка только на Английском.","Экшены, Приключенческие игры, Инди, Стратегии, Совместное прохождение.",10.,Доступна.
 The Wild Eight играть по сети и интернету Онлайн,https://freetp.org/po-seti/2274-the-wild-eight-igra-po-seti-besplatno-onlayn.html,/uploads/posts/2017-02/thumbs/1487279561_the-wild-eight.jpg,"The Wild Eight - очень увлекательные и опасные приключения в рандомно генерируемом мире, с огромным количеством испытаний. Чтобы выжить - добываем ресурсы и ищем новые, более благополучные локации вместе со своими друзьями.",47,Интернет (Steam).,"8 языков, в т.ч. русский.","Экшены, Приключенческие игры, Инди, Ролевые игры, Симуляторы, Совместное Прохождение.",4.,Доступна.
 Wasteland 3 играть по сети и интернету ОНЛАЙН / ЛАН,https://freetp.org/po-seti/4413-wasteland3-igra-po-seti-besplatno-onlayn.html,/uploads/posts/2020-08/thumbs/1598684606_wasteland-iii.jpg,"Wasteland 3 - это уникальная игра, где Вам нужно будет стать во главе рейнджеров-законников, которые орудуют в мире, после ядерной войны. Именно Вам предстоит возродить былое общество из пепла. После событий, которые стерли половину городов с лица земли прошел целый век. Вы ежедневно ведете борьбу, надеясь на то, что наконец-то будет возможность сохранить жизнь и счастье выживших в штате Аризон. Внезапно на вас выходит Патриарх Колорадо, который обещает помочь, но лишь после того как вы сделаете то, что он просит. С этого момента интереснейшая ролевая игра начнется. Wasteland 3 по сети или интернету с друзьями доступна совершенно бесплатно.",60,Интернет / LAN.,"Русский Текст, Озвучка только на Английском.","Ролевые игры, Стратегии, Совместное прохождение..",2.,Доступна.
 Kerbal Space Program играть по сети и интернету Онлайн (Dark Multiplayer),https://freetp.org/po-seti/1683-kerbal-space-program-igra-besplatno-onlayn-v-multipleer.html,/uploads/posts/2021-01/thumbs/1609511094_kerbal-space-program.jpg,Kerbal Space Program - мультижанровая игра в которой игроки создают свою собственную космическую программу.,31,Подключение по IP.,Русский текст.,"Инди, Симуляторы, Совместное прохождение.",*.,Доступна.
 Stick Fight: The Game играть по сети и интернету Онлайн,https://freetp.org/po-seti/2858-stick-fight-the-game-igra-po-seti-besplatno-onlayn.html,/uploads/posts/2018-06/thumbs/1530342182_stick-fight-the-game.jpg,"Stick Fight - игра с отличнейшей физикой построенная на быстрых матчах между игроками. Ваш герой - Стикерский персонаж, который должен сделать всё что от него зависит для уничтожения противника, но игра будет всячески мешать обоим и пытаться вас убить!",27,Интернет (Steam).,Полностью Английский (Игра без Озвучки).,"Экшены, Казуальные игры, Инди.",4.,Не Доступна.
" С Новым Годом, Дорогие Пользователи!",https://freetp.org/4590-s-novym-godom-dorogie-polzovateli.html,https://freetp.org/uploads/posts/2020-12/1609421942_1-13-1024x640.jpg,,10,Способ игры не указан,Язык в игре не указан,Жанр не указан,Максимальное количество игроков не указано,Информация об одиночной игре не указана
 Half Dead 2 v1.01 играть по сети и интернету ОНЛАЙН,https://freetp.org/po-seti/4256-half-dead-2-igra-po-seti-i-internetu-onlayn.html,/uploads/posts/2020-04/thumbs/1588063014_half-dead-2.jpg,"Half Dead 2 - игра в стиле ""Куб"", очень похожа на мотивы фильма, где вы - ужасный преступник, чей путь заканчивался смертной казнью, но продажное правительство решило дать тебе шанс и отправить на жёсткое испытание, приз за которую твоя свобода! Играть можно Half Dead 2 по сети в кооператив и на скорость против друзей.",6,Интернет (Steam).,"Русский Текст, Озвучки в игре нет.","Экшены, Приключенческие игры, Многопользовательские игры, Совместное Прохождение.","8 - Кооператив, 16 - против друзей.",Доступна.
 Attack on Titan 2 играть по сети и интернету Онлайн,https://freetp.org/po-seti/4579-aot2-igra-po-seti-besplatno-onlayn.html,/uploads/posts/2020-12/thumbs/1608546652_attack-on-titan-2.jpg,"A.O.T.2 игра, она же ""Атака Титанов"" - уже вторая часть популярной по всему миру Саги в жанре аниме. Вам предстоит снова выйти на путь сопротивления с могущественными титанами и полными злобы и коварства титанами, которые способны лишить Вас жизни в несколько секунд. Главная задача в этом проекте - сделать всё, чтобы найти в чем же заключается секрет врагов в этих землях. В новой части были значительно изменены графические части игрового мира, а также улучшена оптимизация игрового процесса для одиночной или многопользовательской игры.",20,Интернет (Стим).,Английский (текст).,"Экшены, Файтинги, Совместное прохождение.",*.,Информация об одиночной игре не указана
 THE GAME OF LIFE 2 играть по сети и интернету Онлайн,https://freetp.org/po-seti/4569-the-game-of-life-2-igra-po-seti-besplatno-onlayn.html,/uploads/posts/2020-12/thumbs/1608054753_the-game-of-life-2.jpg,"Симулятор взросления и современная настольная цифровая игра-приключение - это и есть The Game of Life 2, то есть это буквально игра в жизнь. Здесь всё зависит исключительно от Вас и Ваших решений, ведь все то, что Вы будете делать - напрямую будет влиять на геймлей. Это официальное, второе по счету, дополнение игры, которая когда-то взорвала мир симуляторов подобного формата и даже Sims рядом не стоял. Попробуйте сыграть в The Game of Life 2 по сети или онлайн бесплатно со своими друзьями и оценить, является ли симулятор реального мира конкурентом популярному симсу или нет?",13,Интернет (Стим).,Английский (текст и озвучка).,"Приключенческие игры, Казуальные игры, Симуляторы, Совместное прохождение.",4.,Информация об одиночной игре не указана
 Zombie Army 4: Dead War играть по сети и интернету ЛАН,https://freetp.org/po-seti/4567-zombie-army-4-dead-war-igra-po-seti-besplatno-onlayn.html,/uploads/posts/2020-12/thumbs/1607946125_new-zombie-army-4.jpg,"Онлайн-шутер с видом от третьего лица Zombie Army 4: Война мёртвых - это место, где вы будете заниматься отражением многочисленных захватчиков Третьего Рейха. Сражайтесь и выполняйте поставленные задачи в одиночку или в кооперативном режиме.",46,Интернет (Steam).,"Русский Текст, Озвучка, Субтитры.","От третьего лица, От первого лица, Экшены, Шутеры, Зомби, Совместное Прохождение.",8.,Доступна.
 Tower Unite играть по сети и интернету Онлайн,https://freetp.org/po-seti/4563-tower-unite-igra-po-seti-besplatno-onlayn.html,/uploads/posts/2020-12/thumbs/1607769567_tower-unite.jpg,"Казуальных экшенов в современной игровой индустрии хватает, но действительно уникальных и увлекательных не так много. Мультиплеер Tower Unite играть бесплатно можно уже сегодня. Игроки оказываются в неизведанной огромной вселенной, где им нужно будет строить всё то, что только захочется: начиная от собственного дома любого размера и заканчивая любыми из семи чудес света. Создай уникального персонажа, сооруди собственный дом и добывай ресурсы вместе с друзьями по сети или интернету онлайн.",6,Интернет (Стим).,Английский.,"Экшены, Приключенческие игры, Казуальные игры, Инди, Многопользовательские игры, Гонки,.",12.,Информация об одиночной игре не указана
 Rogue Wars играть по сети и интернету Онлайн / ЛАН,https://freetp.org/po-seti/4562-rogue-wars-igrat-po-seti-i-internetu-onlayn.html,/uploads/posts/2020-12/thumbs/1607548814_rogue-wars.jpg,"Rogue Wars - шутер от первого лица с элементами стратегии, приключенческих игр и инди, с возможностью кооператива и режимом сражения!",0,Способ игры не указан,Язык в игре не указан,"Экшены, Приключенческие игры, Инди, Стратегии, Совместное Прохождение.",Максимальное количество игроков не указано,Информация об одиночной игре не указана
